CPV Code,Description
"44000Landbruksvarer03200000Korn,","poteter, grønnsaker, frukt og nøtter03210000Korn og poteter03211000Korn03211100Hvete03211110Durumhvete03211120Vanlig hvete03211200Mais03211300Ris03211400Bygg (korn)03211500Rug03211600Havre03211700Malt03211900Kornprodukter03212000Poteter og tørkede grønnsaker03212100Poteter03212200Tørkede belgfrukter og -planter03212210Tørkede belgfrukter03212220Belgfrukter03220000Grønnsaker, frukt og nøtter03221000Grønnsaker03221100Rot og knollvekster03221110Rotvekster03221120Knollvekster03221200Frukt grønnsaker03221210Bønner03221220Erter03221230Pepperfrukter03221240Tomater03221250Squash03221260Sopp03221270Agurker03221300Bladgrønnsaker03221310Hodesalat03221320Bladsalater03221330Artisjokker03221340Spinat03221400Kål grønnsaker03221410Kål03221420Blomkål03221430Broccoli03221440Rosenkål03222000Frukter og nøtter03222100Tropiske frukter og nøtter03222110Tropiske frukter03222120Kokosnøtter03222200Sitrusfrukter03222210Sitroner03222220Appelsiner03222230Grapefrukter03222240Tangeriner03222250Limefrukter03222300Ikke-tropisk frukt03222310Bærfrukt03222320Epler, pærer og syrlig frukter03222330Steinfrukter03222340Druer03222400Oliven03300000Gårdsbruk, jakt- og fiskeprodukter03310000Fisk, skalldyr og sjøprodukter03311000Fisk03311100Flatfisk03311110Tunge03311120Rødspette03311200Torskefisk03311210Torsk03311220Sei03311230Lysing03311240Kolje03311300Sild03311400Tunfisk03311500Hviting03311600Småsild03311700Laks03312000Krepsdyr03312100Østers03312200Skalldyr03312300Virvelløse havdyr03313000Sjøprodukter03313100Koraller eller tilsvarende produkter03313200Natursvamp03313300Tang03313310Alger03320000Kveg, levende dyr og smådyr03321000Kveg03321100Storfe03321200Kalver03322000Husdyrbestand03322100Sau03322200Geiter03322300Hester03323000Svin03324000Levende fjærkre03325000Smådyr03325100Kaniner03325200Harer03330000Husdyr og produkter herav03331000Fersk melk fra sau og geiter03331100Melk fra sau03331200Melk fra geiter03332000Ull og dyrehår03332100Klippet ull03332200Dyrehår03333000Fersk kumelk03340000Øremerker til dyr03341000Øremerker til kveg03400000Skog og tømmerprodukter03410000Trevirke03411000Bartrær03412000Tropiske tresorter03413000Ved til brensel03414000Ubehandlet tre03415000Bløtt tre03416000Spilltre03417000Treavfall03417100Sagspon03418000Tømmerstokker03418100Hardt tre03419000Tømmer03419100Tømmer produkter03419200Gruvetømmer03420000Gummier03421000Balsatre03422000Skjellakk03430000Kork03431000Naturkork03432000Kurvprodukter03432100Flettverker03440000Skogbruksprodukter03441000Prydplanter, gress, mose og lav03450000Planteskoleprodukter03451000Planter03451100Vekster til utplanting03451200Blomsterløk03451300Busker03452000Trær03460000Bløt masse03461000Tremasse03461100Kjemisk tremasse"
"03200000Korn,","poteter, grønnsaker, frukt og nøtter03210000Korn og poteter03211000Korn03211100Hvete03211110Durumhvete03211120Vanlig hvete03211200Mais03211300Ris03211400Bygg (korn)03211500Rug03211600Havre03211700Malt03211900Kornprodukter03212000Poteter og tørkede grønnsaker03212100Poteter03212200Tørkede belgfrukter og -planter03212210Tørkede belgfrukter03212220Belgfrukter03220000Grønnsaker, frukt og nøtter03221000Grønnsaker03221100Rot og knollvekster03221110Rotvekster03221120Knollvekster03221200Frukt grønnsaker03221210Bønner03221220Erter03221230Pepperfrukter03221240Tomater03221250Squash03221260Sopp03221270Agurker03221300Bladgrønnsaker03221310Hodesalat03221320Bladsalater03221330Artisjokker03221340Spinat03221400Kål grønnsaker03221410Kål03221420Blomkål03221430Broccoli03221440Rosenkål03222000Frukter og nøtter03222100Tropiske frukter og nøtter03222110Tropiske frukter03222120Kokosnøtter03222200Sitrusfrukter03222210Sitroner03222220Appelsiner03222230Grapefrukter03222240Tangeriner03222250Limefrukter03222300Ikke-tropisk frukt03222310Bærfrukt03222320Epler, pærer og syrlig frukter03222330Steinfrukter03222340Druer03222400Oliven"
03210000Korn,og poteter03211000Korn03211100Hvete03211110Durumhvete03211120Vanlig hvete03211200Mais03211300Ris03211400Bygg (korn)03211500Rug03211600Havre03211700Malt03211900Kornprodukter03212000Poteter og tørkede grønnsaker03212100Poteter03212200Tørkede belgfrukter og -planter03212210Tørkede belgfrukter03212220Belgfrukter
03211000Korn03211100Hvete03211110Durumhvete03211120Vanlig,hvete03211200Mais03211300Ris03211400Bygg (korn)03211500Rug03211600Havre03211700Malt03211900Kornprodukter
03211100Hvete03211110Durumhvete03211120Vanlig,hvete
03211120Vanlig,hvete
03211400Bygg,(korn)
03212000Poteter,og tørkede grønnsaker03212100Poteter03212200Tørkede belgfrukter og -planter03212210Tørkede belgfrukter03212220Belgfrukter
03212200Tørkede,belgfrukter og -planter03212210Tørkede belgfrukter03212220Belgfrukter
03212210Tørkede,belgfrukter
"03220000Grønnsaker,","frukt og nøtter03221000Grønnsaker03221100Rot og knollvekster03221110Rotvekster03221120Knollvekster03221200Frukt grønnsaker03221210Bønner03221220Erter03221230Pepperfrukter03221240Tomater03221250Squash03221260Sopp03221270Agurker03221300Bladgrønnsaker03221310Hodesalat03221320Bladsalater03221330Artisjokker03221340Spinat03221400Kål grønnsaker03221410Kål03221420Blomkål03221430Broccoli03221440Rosenkål03222000Frukter og nøtter03222100Tropiske frukter og nøtter03222110Tropiske frukter03222120Kokosnøtter03222200Sitrusfrukter03222210Sitroner03222220Appelsiner03222230Grapefrukter03222240Tangeriner03222250Limefrukter03222300Ikke-tropisk frukt03222310Bærfrukt03222320Epler, pærer og syrlig frukter03222330Steinfrukter03222340Druer03222400Oliven"
03221000Grønnsaker03221100Rot,og knollvekster03221110Rotvekster03221120Knollvekster03221200Frukt grønnsaker03221210Bønner03221220Erter03221230Pepperfrukter03221240Tomater03221250Squash03221260Sopp03221270Agurker03221300Bladgrønnsaker03221310Hodesalat03221320Bladsalater03221330Artisjokker03221340Spinat03221400Kål grønnsaker03221410Kål03221420Blomkål03221430Broccoli03221440Rosenkål
03221100Rot,og knollvekster03221110Rotvekster03221120Knollvekster
03221200Frukt,grønnsaker03221210Bønner03221220Erter03221230Pepperfrukter03221240Tomater03221250Squash03221260Sopp03221270Agurker
03221400Kål,grønnsaker03221410Kål03221420Blomkål03221430Broccoli03221440Rosenkål
03222000Frukter,"og nøtter03222100Tropiske frukter og nøtter03222110Tropiske frukter03222120Kokosnøtter03222200Sitrusfrukter03222210Sitroner03222220Appelsiner03222230Grapefrukter03222240Tangeriner03222250Limefrukter03222300Ikke-tropisk frukt03222310Bærfrukt03222320Epler, pærer og syrlig frukter03222330Steinfrukter03222340Druer03222400Oliven"
03222100Tropiske,frukter og nøtter03222110Tropiske frukter03222120Kokosnøtter
03222110Tropiske,frukter
03222300Ikke-tropisk,"frukt03222310Bærfrukt03222320Epler, pærer og syrlig frukter03222330Steinfrukter03222340Druer"
"03222320Epler,",pærer og syrlig frukter
"03300000Gårdsbruk,","jakt- og fiskeprodukter03310000Fisk, skalldyr og sjøprodukter03311000Fisk03311100Flatfisk03311110Tunge03311120Rødspette03311200Torskefisk03311210Torsk03311220Sei03311230Lysing03311240Kolje03311300Sild03311400Tunfisk03311500Hviting03311600Småsild03311700Laks03312000Krepsdyr03312100Østers03312200Skalldyr03312300Virvelløse havdyr03313000Sjøprodukter03313100Koraller eller tilsvarende produkter03313200Natursvamp03313300Tang03313310Alger03320000Kveg, levende dyr og smådyr03321000Kveg03321100Storfe03321200Kalver03322000Husdyrbestand03322100Sau03322200Geiter03322300Hester03323000Svin03324000Levende fjærkre03325000Smådyr03325100Kaniner03325200Harer03330000Husdyr og produkter herav03331000Fersk melk fra sau og geiter03331100Melk fra sau03331200Melk fra geiter03332000Ull og dyrehår03332100Klippet ull03332200Dyrehår03333000Fersk kumelk03340000Øremerker til dyr03341000Øremerker til kveg"
"03310000Fisk,",skalldyr og sjøprodukter03311000Fisk03311100Flatfisk03311110Tunge03311120Rødspette03311200Torskefisk03311210Torsk03311220Sei03311230Lysing03311240Kolje03311300Sild03311400Tunfisk03311500Hviting03311600Småsild03311700Laks03312000Krepsdyr03312100Østers03312200Skalldyr03312300Virvelløse havdyr03313000Sjøprodukter03313100Koraller eller tilsvarende produkter03313200Natursvamp03313300Tang03313310Alger
03312000Krepsdyr03312100Østers03312200Skalldyr03312300Virvelløse,havdyr
03312300Virvelløse,havdyr
03313000Sjøprodukter03313100Koraller,eller tilsvarende produkter03313200Natursvamp03313300Tang03313310Alger
03313100Koraller,eller tilsvarende produkter
"03320000Kveg,",levende dyr og smådyr03321000Kveg03321100Storfe03321200Kalver03322000Husdyrbestand03322100Sau03322200Geiter03322300Hester03323000Svin03324000Levende fjærkre03325000Smådyr03325100Kaniner03325200Harer
03324000Levende,fjærkre
03330000Husdyr,og produkter herav03331000Fersk melk fra sau og geiter03331100Melk fra sau03331200Melk fra geiter03332000Ull og dyrehår03332100Klippet ull03332200Dyrehår03333000Fersk kumelk
03331000Fersk,melk fra sau og geiter03331100Melk fra sau03331200Melk fra geiter
03331100Melk,fra sau
03331200Melk,fra geiter
03332000Ull,og dyrehår03332100Klippet ull03332200Dyrehår
03332100Klippet,ull
03333000Fersk,kumelk
03340000Øremerker,til dyr03341000Øremerker til kveg
03341000Øremerker,til kveg
03400000Skog,"og tømmerprodukter03410000Trevirke03411000Bartrær03412000Tropiske tresorter03413000Ved til brensel03414000Ubehandlet tre03415000Bløtt tre03416000Spilltre03417000Treavfall03417100Sagspon03418000Tømmerstokker03418100Hardt tre03419000Tømmer03419100Tømmer produkter03419200Gruvetømmer03420000Gummier03421000Balsatre03422000Skjellakk03430000Kork03431000Naturkork03432000Kurvprodukter03432100Flettverker03440000Skogbruksprodukter03441000Prydplanter, gress, mose og lav03450000Planteskoleprodukter03451000Planter03451100Vekster til utplanting03451200Blomsterløk03451300Busker03452000Trær03460000Bløt masse03461000Tremasse03461100Kjemisk tremasse"
03410000Trevirke03411000Bartrær03412000Tropiske,tresorter03413000Ved til brensel03414000Ubehandlet tre03415000Bløtt tre03416000Spilltre03417000Treavfall03417100Sagspon03418000Tømmerstokker03418100Hardt tre03419000Tømmer03419100Tømmer produkter03419200Gruvetømmer
03412000Tropiske,tresorter
03413000Ved,til brensel
03414000Ubehandlet,tre
03415000Bløtt,tre
03418000Tømmerstokker03418100Hardt,tre
03418100Hardt,tre
03419000Tømmer03419100Tømmer,produkter03419200Gruvetømmer
03419100Tømmer,produkter
"03440000Skogbruksprodukter03441000Prydplanter,","gress, mose og lav"
"03441000Prydplanter,","gress, mose og lav"
03450000Planteskoleprodukter03451000Planter03451100Vekster,til utplanting03451200Blomsterløk03451300Busker03452000Trær
03451000Planter03451100Vekster,til utplanting03451200Blomsterløk03451300Busker
03451100Vekster,til utplanting
03460000Bløt,masse03461000Tremasse03461100Kjemisk tremasse
03461000Tremasse03461100Kjemisk,tremasse
03461100Kjemisk,tremasse
"09000000Oljeprodukter,","brensel, elektrisitet og andre energikilder09100000Brensel09110000Fast brensel09111000Kull og kullbasert brensel09111100Kull09111200Kullbasert brensel09111210Steinkull09111220Briketter09111300Fossilt brensel09111400Trebrensel09112000Brunkull og torv09112100Brunkull09112200Torv09113000Koks09120000Gassholdig brennstoff09121000Kullgass, gassforsyning eller andre gasser09121100Kullgass eller tilsvarende gasser09121200Ledningsgass09122000Propan og butan09122100Propangass09122110Flytende propangass09122200Butangass09122210Flytende butangass09123000Naturgass09130000Petroleum og destillater09131000Flyparafin09131100Flybrennstoff av petroleumstypen09132000Bensin09132100Blyfri bensin09132200Blyholdig bensin09132300Etanolholdig bensin09133000Flytende petroleumsgass (LPG)09134000Gassoljer09134100Dieselolje09134200Dieseldrivstoff09134210Diesel brennstoff (0.2).09134220Diesel brennstoff (EN 590).09134230Biodiesel09135000Brenselsoljer09135100Fyringsolje09135110Lavsulfat lettantennelig oljer09200000Petroleum-, kull- og oljeprodukter09210000Smørepreparater09211000Smøreoljer og smøremidler09211100Motoroljer09211200Kompressoroljer09211300Turbinoljer09211400Gearoljer09211500Gearoljer (Reductor oils)09211600Oljer til anvendelse i hydrauliske systemer og til andre formål09211610Vesker til hydrauliske formål09211620Formoljer09211630Korrosionsbeskyttende oljer09211640Elektroisolerende oljer09211650Bremsevæsker09211700Hvite oljer og flytende parafin09211710Hvite oljer09211720Flytende parafin09211800Oljer og produkter av petroleum09211810Lettolje09211820Olje av petroleum09211900Smøringsolje til traksjon09220000Vaseline, voks og spesialsprit09221000Vaselin og vokser09221100Vaselin09221200Parafinvoks09221300Petroleumsvoks09221400Restprodukter av petroleum09222000Spesialsprit09222100White spirit09230000Råolje09240000Olje- og kullrelaterte produkter09241000Bituminøs skifer eller oljeskifer09242000Kullrelaterte produkter09242100Kull olje09300000Elektrisitet, oppvarming, solenergi og kjernefysisk energi09310000Elektrisitet09320000Damp, varmt vann og tilhørende produkter09321000Varmt vann09322000Damp09323000Fjernvarme09324000Fjernvarme09330000Solenergi09331000Solcellepanel09331100Solfangere til varmeproduksjon09331200Solcellsmoduler09332000Solenergianlegg09340000Atombrennstoff09341000Uran09342000Plutonium09343000Radioaktive materialer09344000Radioisotoper"
09100000Brensel09110000Fast,"brensel09111000Kull og kullbasert brensel09111100Kull09111200Kullbasert brensel09111210Steinkull09111220Briketter09111300Fossilt brensel09111400Trebrensel09112000Brunkull og torv09112100Brunkull09112200Torv09113000Koks09120000Gassholdig brennstoff09121000Kullgass, gassforsyning eller andre gasser09121100Kullgass eller tilsvarende gasser09121200Ledningsgass09122000Propan og butan09122100Propangass09122110Flytende propangass09122200Butangass09122210Flytende butangass09123000Naturgass09130000Petroleum og destillater09131000Flyparafin09131100Flybrennstoff av petroleumstypen09132000Bensin09132100Blyfri bensin09132200Blyholdig bensin09132300Etanolholdig bensin09133000Flytende petroleumsgass (LPG)09134000Gassoljer09134100Dieselolje09134200Dieseldrivstoff09134210Diesel brennstoff (0.2).09134220Diesel brennstoff (EN 590).09134230Biodiesel09135000Brenselsoljer09135100Fyringsolje09135110Lavsulfat lettantennelig oljer"
09110000Fast,brensel09111000Kull og kullbasert brensel09111100Kull09111200Kullbasert brensel09111210Steinkull09111220Briketter09111300Fossilt brensel09111400Trebrensel09112000Brunkull og torv09112100Brunkull09112200Torv09113000Koks
09111000Kull,og kullbasert brensel09111100Kull09111200Kullbasert brensel09111210Steinkull09111220Briketter09111300Fossilt brensel09111400Trebrensel
09111200Kullbasert,brensel09111210Steinkull09111220Briketter
09111300Fossilt,brensel
09112000Brunkull,og torv09112100Brunkull09112200Torv
09120000Gassholdig,"brennstoff09121000Kullgass, gassforsyning eller andre gasser09121100Kullgass eller tilsvarende gasser09121200Ledningsgass09122000Propan og butan09122100Propangass09122110Flytende propangass09122200Butangass09122210Flytende butangass09123000Naturgass"
"09121000Kullgass,",gassforsyning eller andre gasser09121100Kullgass eller tilsvarende gasser09121200Ledningsgass
09121100Kullgass,eller tilsvarende gasser
09122000Propan,og butan09122100Propangass09122110Flytende propangass09122200Butangass09122210Flytende butangass
09122100Propangass09122110Flytende,propangass
09122110Flytende,propangass
09122200Butangass09122210Flytende,butangass
09122210Flytende,butangass
09130000Petroleum,og destillater09131000Flyparafin09131100Flybrennstoff av petroleumstypen09132000Bensin09132100Blyfri bensin09132200Blyholdig bensin09132300Etanolholdig bensin09133000Flytende petroleumsgass (LPG)09134000Gassoljer09134100Dieselolje09134200Dieseldrivstoff09134210Diesel brennstoff (0.2).09134220Diesel brennstoff (EN 590).09134230Biodiesel09135000Brenselsoljer09135100Fyringsolje09135110Lavsulfat lettantennelig oljer
09131000Flyparafin09131100Flybrennstoff,av petroleumstypen
09131100Flybrennstoff,av petroleumstypen
09132000Bensin09132100Blyfri,bensin09132200Blyholdig bensin09132300Etanolholdig bensin
09132100Blyfri,bensin
09132200Blyholdig,bensin
09132300Etanolholdig,bensin
09133000Flytende,petroleumsgass (LPG)
09134000Gassoljer09134100Dieselolje09134200Dieseldrivstoff09134210Diesel,brennstoff (0.2).09134220Diesel brennstoff (EN 590).09134230Biodiesel
09134200Dieseldrivstoff09134210Diesel,brennstoff (0.2).09134220Diesel brennstoff (EN 590).09134230Biodiesel
09134210Diesel,brennstoff (0.2).
09134220Diesel,brennstoff (EN 590).
09135000Brenselsoljer09135100Fyringsolje09135110Lavsulfat,lettantennelig oljer
09135100Fyringsolje09135110Lavsulfat,lettantennelig oljer
09135110Lavsulfat,lettantennelig oljer
"09200000Petroleum-,","kull- og oljeprodukter09210000Smørepreparater09211000Smøreoljer og smøremidler09211100Motoroljer09211200Kompressoroljer09211300Turbinoljer09211400Gearoljer09211500Gearoljer (Reductor oils)09211600Oljer til anvendelse i hydrauliske systemer og til andre formål09211610Vesker til hydrauliske formål09211620Formoljer09211630Korrosionsbeskyttende oljer09211640Elektroisolerende oljer09211650Bremsevæsker09211700Hvite oljer og flytende parafin09211710Hvite oljer09211720Flytende parafin09211800Oljer og produkter av petroleum09211810Lettolje09211820Olje av petroleum09211900Smøringsolje til traksjon09220000Vaseline, voks og spesialsprit09221000Vaselin og vokser09221100Vaselin09221200Parafinvoks09221300Petroleumsvoks09221400Restprodukter av petroleum09222000Spesialsprit09222100White spirit09230000Råolje09240000Olje- og kullrelaterte produkter09241000Bituminøs skifer eller oljeskifer09242000Kullrelaterte produkter09242100Kull olje"
09210000Smørepreparater09211000Smøreoljer,og smøremidler09211100Motoroljer09211200Kompressoroljer09211300Turbinoljer09211400Gearoljer09211500Gearoljer (Reductor oils)09211600Oljer til anvendelse i hydrauliske systemer og til andre formål09211610Vesker til hydrauliske formål09211620Formoljer09211630Korrosionsbeskyttende oljer09211640Elektroisolerende oljer09211650Bremsevæsker09211700Hvite oljer og flytende parafin09211710Hvite oljer09211720Flytende parafin09211800Oljer og produkter av petroleum09211810Lettolje09211820Olje av petroleum09211900Smøringsolje til traksjon
09211000Smøreoljer,og smøremidler09211100Motoroljer09211200Kompressoroljer09211300Turbinoljer09211400Gearoljer09211500Gearoljer (Reductor oils)09211600Oljer til anvendelse i hydrauliske systemer og til andre formål09211610Vesker til hydrauliske formål09211620Formoljer09211630Korrosionsbeskyttende oljer09211640Elektroisolerende oljer09211650Bremsevæsker09211700Hvite oljer og flytende parafin09211710Hvite oljer09211720Flytende parafin09211800Oljer og produkter av petroleum09211810Lettolje09211820Olje av petroleum09211900Smøringsolje til traksjon
09211500Gearoljer,(Reductor oils)
09211600Oljer,til anvendelse i hydrauliske systemer og til andre formål09211610Vesker til hydrauliske formål09211620Formoljer09211630Korrosionsbeskyttende oljer09211640Elektroisolerende oljer09211650Bremsevæsker
09211610Vesker,til hydrauliske formål
09211630Korrosionsbeskyttende,oljer
09211640Elektroisolerende,oljer
09211700Hvite,oljer og flytende parafin09211710Hvite oljer09211720Flytende parafin
09211710Hvite,oljer
09211720Flytende,parafin
09211800Oljer,og produkter av petroleum09211810Lettolje09211820Olje av petroleum
09211820Olje,av petroleum
09211900Smøringsolje,til traksjon
"09220000Vaseline,",voks og spesialsprit09221000Vaselin og vokser09221100Vaselin09221200Parafinvoks09221300Petroleumsvoks09221400Restprodukter av petroleum09222000Spesialsprit09222100White spirit
09221000Vaselin,og vokser09221100Vaselin09221200Parafinvoks09221300Petroleumsvoks09221400Restprodukter av petroleum
09221400Restprodukter,av petroleum
09222000Spesialsprit09222100White,spirit
09222100White,spirit
09240000Olje-,og kullrelaterte produkter09241000Bituminøs skifer eller oljeskifer09242000Kullrelaterte produkter09242100Kull olje
09241000Bituminøs,skifer eller oljeskifer
09242000Kullrelaterte,produkter09242100Kull olje
09242100Kull,olje
"09300000Elektrisitet,","oppvarming, solenergi og kjernefysisk energi09310000Elektrisitet09320000Damp, varmt vann og tilhørende produkter09321000Varmt vann09322000Damp09323000Fjernvarme09324000Fjernvarme09330000Solenergi09331000Solcellepanel09331100Solfangere til varmeproduksjon09331200Solcellsmoduler09332000Solenergianlegg09340000Atombrennstoff09341000Uran09342000Plutonium09343000Radioaktive materialer09344000Radioisotoper"
"09320000Damp,",varmt vann og tilhørende produkter09321000Varmt vann09322000Damp09323000Fjernvarme09324000Fjernvarme
09321000Varmt,vann
09330000Solenergi09331000Solcellepanel09331100Solfangere,til varmeproduksjon09331200Solcellsmoduler09332000Solenergianlegg
09331000Solcellepanel09331100Solfangere,til varmeproduksjon09331200Solcellsmoduler
09331100Solfangere,til varmeproduksjon
09340000Atombrennstoff09341000Uran09342000Plutonium09343000Radioaktive,materialer09344000Radioisotoper
09343000Radioaktive,materialer
"14000000Gruvedrift,","grunnmetaller og relaterte produkter14200000Sand og leire14210000Grus, sand, knuste stein og tilslagsmaterialer14211000Sand14211100Natursand14212000Korn, steinflis, pulver av stein, småstein, grus, knust stein, steinblandinger, sand- og grusblandinger og andre tilslagsmaterialer14212100Småstein og grus14212110Småstein14212120Grus14212200Tilslagsmaterialer14212210Blandinger av sand og grus14212300Knust stein14212310Pukk14212320Knust granitt14212330Knust basalt14212400Jord14212410Matjord14212420Underjord14212430Steinflis14213000Makadam, asfalt og asfaltsand14213100Makadam14213200Asfalt14213300Asfaltsand14220000Leire og kaolin14221000Leire14222000Kaolin14300000Kjemiske mineraler og gjødningsmineraler14310000Gjødningsmineraler14311000Naturlig kalsium, aluminiumkalsiumfosfat og rå, naturlige kaliumsalter14311100Naturlig kalsium14311200Aluminiumkalsiumfosfater14311300Rå naturlige kaliumsalter14312000Svovelkis14312100Ikke brent svovelkis14320000Kjemiske mineraler14400000Salt og ren natriumklorid14410000Steinsalt14420000Havsalt14430000Inndamped salt og ren natriumklorid14450000Saltlake14500000Produkter relatert til gruve- og bergverksdrift og steinbrudd14520000Edelstein og halvedelstein; pimpstein; smergel; naturlige slipemidler, andre mineraler og edle metaller14521000Edelstein og halvedelstein14521100Edelstein14521140Støv eller pulver av edelstein14521200Halvedelstein14521210Støv eller pulver av halvedelstein14522000Industridiamanter; pimpstein; smergel og andre naturlige slipemidler14522100Pimpstein14522200Industridiamanter14522300Smergel14522400Naturlige slipemidler14523000Beslektede mineraler, edle metaller og produkter herav14523100Mineraler14523200Gull14523300Sølv14523400Platina14600000Metallmalmer og legeringer14610000Metalliske malmer14611000Jernmalmer14612000Ikke-jernholdige metallmalmer14612100Kobbermalm14612200Nikkelmalm14612300Aluminiummalm14612400Edelmetallmalm14612500Blymalm14612600Zinkmalm14612700Tinnmalm14613000Uran- og thoriummalm14613100Uranmalmer14613200Thoriummalmer14614000Diverse malmer14620000Legeringer14621000Jernlegeringer14621100Jernlegeringer, ikke omfattet av EKSF14621110Ferro-mangan14621120Jernkrom14621130Jernnikkel14622000Stål14630000Slagg, avfall, skrap og skrot av jern14700000Grunnmetaller14710000Jern, bly, sink, tinn og kopper14711000Jern14711100Råjern14712000Bly14713000Sink14714000Tinn14715000Kopper14720000Aluminium, nikkel, scandium, titanium og vanadium14721000Aluminium14721100Aluminiumoksid14722000Nikkel14723000Scandium14724000Titanium14725000Vanadium14730000Krom, mangan, kobolt, yttrium og zirkonium.14731000Krom,14732000Mangan14733000Kobolt14734000Yttrium14735000Zirkonium14740000Molybden, technetium, ruthenium og rhodium.14741000Molybden14742000Technetium.14743000Ruthenium.14744000Rhodium.14750000Kadmium, lutetium, hafnium, tantal og wolfram14751000Kadmium14752000Lutetium,14753000Hafnium14754000Tantal14755000Wolfram14760000Iridium, gallium, indium, thalliums og barium.14761000Iridium14762000Gallium14763000Indium14764000Thalliums14765000Barium14770000Cesium, strontium, rubidium og kalsium14771000Cesium14772000Strontium14773000Rubidium14774000Kalsium14780000Kalium, magnesium, natrium and litium.14781000Kalium,14782000Magnesium,14783000Natrium14784000Litium.14790000Niob, osmium, rhenium og palladium14791000Niob14792000Osmium14793000Rhenium14794000Palladium14800000Diverse ikke-metalliske mineralprodukter14810000Slipeprodukter14811000Møllestein, slipestein og slipeskiver14811100Møllestein14811200Slipestein14811300Slipeskiver14812000Slipemidler som pulver eller korn14813000Kunstig korund (aluminiumoksid)14814000Kunstig grafitt14820000Glass14830000Glassfiber14900000Gjenvunnet sekundære råmaterialer14910000Gjenvunnet sekundære råmaterialer av metall14920000Gjenvunnet sekundære råmaterialer av ikke-metall14930000Aske og rester som inneholder metaller"
14200000Sand,"og leire14210000Grus, sand, knuste stein og tilslagsmaterialer14211000Sand14211100Natursand14212000Korn, steinflis, pulver av stein, småstein, grus, knust stein, steinblandinger, sand- og grusblandinger og andre tilslagsmaterialer14212100Småstein og grus14212110Småstein14212120Grus14212200Tilslagsmaterialer14212210Blandinger av sand og grus14212300Knust stein14212310Pukk14212320Knust granitt14212330Knust basalt14212400Jord14212410Matjord14212420Underjord14212430Steinflis14213000Makadam, asfalt og asfaltsand14213100Makadam14213200Asfalt14213300Asfaltsand14220000Leire og kaolin14221000Leire14222000Kaolin"
"14210000Grus,","sand, knuste stein og tilslagsmaterialer14211000Sand14211100Natursand14212000Korn, steinflis, pulver av stein, småstein, grus, knust stein, steinblandinger, sand- og grusblandinger og andre tilslagsmaterialer14212100Småstein og grus14212110Småstein14212120Grus14212200Tilslagsmaterialer14212210Blandinger av sand og grus14212300Knust stein14212310Pukk14212320Knust granitt14212330Knust basalt14212400Jord14212410Matjord14212420Underjord14212430Steinflis14213000Makadam, asfalt og asfaltsand14213100Makadam14213200Asfalt14213300Asfaltsand"
"14212000Korn,","steinflis, pulver av stein, småstein, grus, knust stein, steinblandinger, sand- og grusblandinger og andre tilslagsmaterialer14212100Småstein og grus14212110Småstein14212120Grus14212200Tilslagsmaterialer14212210Blandinger av sand og grus14212300Knust stein14212310Pukk14212320Knust granitt14212330Knust basalt14212400Jord14212410Matjord14212420Underjord14212430Steinflis"
14212100Småstein,og grus14212110Småstein14212120Grus
14212200Tilslagsmaterialer14212210Blandinger,av sand og grus
14212210Blandinger,av sand og grus
14212300Knust,stein14212310Pukk14212320Knust granitt14212330Knust basalt
14212320Knust,granitt
14212330Knust,basalt
"14213000Makadam,",asfalt og asfaltsand14213100Makadam14213200Asfalt14213300Asfaltsand
14220000Leire,og kaolin14221000Leire14222000Kaolin
14300000Kjemiske,"mineraler og gjødningsmineraler14310000Gjødningsmineraler14311000Naturlig kalsium, aluminiumkalsiumfosfat og rå, naturlige kaliumsalter14311100Naturlig kalsium14311200Aluminiumkalsiumfosfater14311300Rå naturlige kaliumsalter14312000Svovelkis14312100Ikke brent svovelkis14320000Kjemiske mineraler"
14310000Gjødningsmineraler14311000Naturlig,"kalsium, aluminiumkalsiumfosfat og rå, naturlige kaliumsalter14311100Naturlig kalsium14311200Aluminiumkalsiumfosfater14311300Rå naturlige kaliumsalter14312000Svovelkis14312100Ikke brent svovelkis"
